,Star_name,Distance,Mass,Radius
141,HB 2124-4228,113.0,0.089731272,0.0013130936261298255
142,2MASS J21392676+0220226,32.1,0.043911048,0.0010417932901525889
143,2MASS J21481628+4003593,26.3,0.05250234,0.0010743493304698573
144,2MASSW J2206450-421721,93.0,0.021000936,0.001443317787398899
145,2MASSW J2208136+292121,154.0,0.025773876,0.0015301338949116148
146,2MASSW J2224438-015852,38.0,0.058229868000000004,0.0010743493304698573
147,2MASS J22282889-4310262,35.0,0.040092696000000004,0.0010200892632744097
148,2MASS J22373255+3922398,64.0,0.069684924,0.0011286093976653048
149,2MASSW J2244316+204343,56.0,0.011455056,0.0013999097336425414
150,2MASS J23224684-3133231,56.0,0.022910112,0.0015084298680334359
151,2MASS J23225299-6151275,148.0,0.016227996,0.0017254701368152256
152,2MASS J23515044-2537367,67.0,0.084003744,0.0012588335589343782
153,2MASSI J2356547-155310,74.0,0.07636704,0.0011828694648607521
154,WISE 0410+1502,20.0,0.005727528,0.0012696855723734676
155,WISE 0458+6434A,35.9,0.014318820000000001,0.004557845644417577
156,WISE 0458+6434B,35.9,0.00954588,0.004123765106853998
157,WISE 1405+5534,25.3,0.028637640000000002,0.0009332731557616943
